station;latitude;longitude;ligne
Abbaye;49.39804764;2.80485587;
Anatole France;49.40766477;2.80585215;
Ancien Hôpital;49.41333122;2.82221922;
André Malraux;49.39899283;2.79499547;
Aventis;49.4298946;2.85909382;
Bannière du Roi;49.42581429;2.83407066;
Barbillon;49.43343117;2.84501186;
Barthou;49.42435487;2.81056294;
Bataillon de France;49.42318066;2.83879608;
Bellicart;49.42775134;2.84775134;
Blaise Pascal;49.39653433;2.7942303;
Bois de Plaisance;49.41216549;2.77227221;
Bournonville;49.4082098;2.83567605;
Bournonville 2;49.40940895;2.83461386;
CIMA;49.38402619;2.78798181;
Cailloux;49.40606196;2.78319209;
Camp de Royallieu;49.40376097;2.80485289;
Camp du Roy;49.40429412;2.78025839;
Capucins;49.41454826;2.82114302;
Carnot;49.40916859;2.82971045;
Carrefour Napoleon;49.40629889;2.8372406;
Castors;49.42140038;2.80572982;
Centre Commercial Jaux Venette;49.40756881;2.781388;
Centre Commercial Royallieu;49.39675825;2.79676481;
Centre Culturel;49.40784099;2.80903387;
Centre de Recherches;49.400862;2.79952701;
Centre de Secours;49.40976531;2.80160351;
Chemin d'Armancourt;49.39043224;2.79487781;
Château de Venette;49.4185397;2.80446442;
Cimetière Nord;49.42463178;2.84193635;
Cimetière de Venette;49.41039056;2.79549645;
Clos des Roses;49.4071175;2.80335541;
Collège Debussy;49.43260057;2.82868218;
Croix Rouge;49.40546894;2.81144864;
De Lattre de Tassigny;49.40447364;2.81552788;
Delaïdde;49.40855946;2.80908178;
Docteur Calmette;49.40005296;2.79259613;
Docteur Guérin;49.39908306;2.79013747;
Domeliers;49.41454693;2.82370395;
Ecole Saint-Germain;49.40964606;2.8160029;
Edmond Rostand;49.40273881;2.80203545;
Edouard Belin;49.38628489;2.79646461;
Eglise Saint-Germain;49.41376329;2.81525655;
Ferdinand De Lesseps;49.39598559;2.78486623;
Foyer Edith Piaf;49.42826788;2.82051504;
Gambetta;49.41216561;2.81492499;
Gare;49.42172441;2.82370319;
Georges Clémenceau;49.42095261;2.83669498;
Glacière;49.4056672;2.81808575;
Grande-Bretagne;49.40864712;2.83853005;
Guy Denielou;49.40091792;2.79665066;
